CEREALE;ETTARI_TERRENO;PRODUZIONE_ANNUA
MEDICA;10.2;900
COLZA;28.5;301.5
FRUMENTO TENERO;191.4;9932.5
FRUMENTO DURO;5;151.1
ORZO;18.6;954
GIRASOLE;39.5;1022.6
MAIS;57.7;3705.4
