CEREALE;GENNAIO;FEBBRAIO;MARZO;APRILE;MAGGIO;GIUGNO;LUGLIO;AGOSTO;SETTEMBRE;OTTOBRE;NOVEMBRE;DICEMBRE
MEDICA;330,00;338,00;335,00;330,00;295,00;295,00;293,13;287,50;287,50;290,00;297,50;300,83
COLZA;367,50;365,50;357,50;352,50;364,90;365,50;345,00;325,83;306,00;313,00;318,00;315,50
FRUMENTO TENERO;340,50;340,50;331,75;327,50;325,50;325,50;300,00;302,67;308,50;311,00;311,00;311,00
FRUMENTO DURO;385,83;369,50;326,25;336,83;346,50;347,50;326,00;323,50;323,50;330,50;329,00;327,50
ORZO;200,83;191,30;185,50;185,50;189,25;177,50;182,25;188,17;191,00;199,25;213,50;226,50
GIRASOLE;435,84;435,84;435,84;435,84;435,84;435,84;435,84;435,84;435,84;435,84;435,84;435,84
MAIS;241,00;241,00;241,00;241,00;241,00;241,00;241,00;241,00;241,00;241,00;241,00;241,00
